distrito,tipo_via,nombre_via,profesion,toponimo,categoria
1,calle peatonal,ABADÍA SANTA ANA,santa,santas y religiosas,mujer real
9,calle,ACTRIZ AMELIA DE LA TORRE,artes escénicas,antropónimo,mujer real
6,calle,ACTRIZ LA TIRANA,artes escénicas,hipocorísticos apodos o pseudónimos,mujer real
10,calle,ACTRIZ RAFAELA APARICIO,artes escénicas,hipocorísticos apodos o pseudónimos,mujer real
1,calle,ACTRIZ ROSARIO PINO,artes escénicas,antropónimo,mujer real
3,calle,ACTRIZ ROSARIO PINO,artes escénicas,antropónimo,mujer real
1,calle,ADELA QUIGUISOLA,esposa/madre/ hija de,antropónimo,mujer real
10,calle,AFRODITA,diosa griega,teónimos y mitología,mujer ficticia
6,calle sin salida,AGATHA CHRISTIE,artes literarias,hipocorísticos apodos o pseudónimos,mujer real
9,calle,AIDA,personaje de la ópera de giusseppe verdi,personaje de ficción,mujer ficticia
10,calle,ALDONZA LORENZO,personaje de el quijote,personaje de ficción,mujer ficticia
11,calle,ALICIA ALONSO,artes escénicas,hipocorísticos apodos o pseudónimos,mujer real
7,avenida,ALICIA DE LARROCHA,artes escénicas,antropónimo,mujer real
10,calle,ALTISIDORA,personaje de el quijote,personaje de ficción,mujer ficticia
7,calle peatonal,AMALIA HEREDIA,nobleza,antropónimo,mujer real
10,calle,AMAZONA,diosa griega,teónimos y mitología,mujer ficticia
1,calle peatonal,ANA BERNAL,madre de,antropónimo,mujer real
9,calle peatonal con escaleras,ANA CARO,artes literarias,antropónimo,mujer real
10,calle sin salida,ANA LEÓN,artes literarias,antropónimo,mujer real
4,calle sin salida,ANA SOLO DE ZALDÍVAR,educación,antropónimo,mujer real
1,calle,ANCHA DEL CARMEN,institución religiosa,advocación mariana o insti. religiosas,mujer ficticia
11,calle,ANDRÓMEDA,diosa griega,teónimos y mitología,mujer ficticia
4,plaza,ÁNGELES,institución religiosa,advocación mariana o insti. religiosas,mujer ficticia
8,calle,ÁNGELES RUBIO- ARGUELLES,artes escénicas,antropónimo,mujer real
1,calle,ANGOSTA DEL CARMEN,institución religiosa,advocación mariana o insti. religiosas,mujer ficticia
2,calle,ANGUSTIAS,virgen,advocación mariana o insti. religiosas,mujer ficticia
5,calle semi peatonal,ANITA ADAMUZ,artes escénicas,antropónimo,mujer real
2,calle,ANITA DELGADO,artes escénicas,antropónimo,mujer real
11,calle,ANTÍGONA,diosa griega,teónimos y mitología,mujer ficticia
4,pasaje,ARANZAZU,patrona de guipúzcoa,advocación mariana o insti. religiosas,mujer ficticia
1,calle,ARCO DE LA CABEZA,nuestra señora de la cabeza,advocación mariana o insti. religiosas,mujer ficticia
6,calle,ARGENTEA,religiosa,santas y religiosas,mujer real
1,calle,ARMELINA,protagonista de la comedia escrita por lope de rueda,personaje de ficción,mujer ficticia
11,parque peatonal,ARQUITECTA MARÍA EUGENIA CANDAU,artes visuales,antropónimo,mujer real
1,avenida,ARROYO DE LOS ÁNGELES,institución religiosa,advocación mariana o insti. religiosas,mujer ficticia
4,avenida,ARROYO DE LOS ÁNGELES,institución religiosa,advocación mariana o insti. religiosas,mujer ficticia
5,avenida,ARROYO DE LOS ÁNGELES,institución religiosa,advocación mariana o insti. religiosas,mujer ficticia
10,calle,ARTEMISA,diosa griega,teónimos y mitología,mujer ficticia
8,avenida,ASUNCIÓN,virgen,advocación mariana o insti. religiosas,mujer ficticia
1,plaza,AURORA,institución religiosa,advocación mariana o insti. religiosas,mujer ficticia
10,calle peatonal,AURORA REDONDO,artes escénicas,antropónimo,mujer real
2,calle,BAILAORA CARMEN AMAYA,artes escénicas,antropónimo,mujer real
4,calle sin salida,BAILARINA ISADORA DUNCAN,artes escénicas,antropónimo,mujer real
3,calle,BALBINA VALVERDE,artes escénicas,antropónimo,mujer real
1,calle,BEATAS,,,gremio mujeres
4,pasaje,BEGOÑA,virgen,advocación mariana o insti. religiosas,mujer ficticia
9,pasaje,BELISARDAS,personaje de el quijote,personaje de ficción,mujer ficticia
8,pasaje,BERNARDA ALBA,"personaje de la obra de federico garcía lorca, la casa de bernarda alba",personaje de ficción,mujer ficticia
3,plaza,BONIFACIA RODRÍGUEZ CASTRO,religiosa,santas y religiosas,mujer real
4,calle sin salida,BRIANDA DE ACUÑA,esposa de,antropónimo,mujer real
2,calle,CALIPSO,ninfa griega,teónimos y mitología,mujer ficticia
11,calle,CALIXTO Y MELIBEA,"melibea, personaje femenino de la obra la celestina de fernando rojas",personaje de ficción,mujer ficticia
8,camino,CARMELITAS,,,gremio mujeres
8,pasaje,CARMELITAS,,,gremio mujeres
1,calle,CARMELITAS,,,gremio mujeres
7,calle,CARMEN DE BURGOS,artes literarias,antropónimo,mujer real
8,calle,CARMEN KURTZ,artes literarias,hipocorísticos apodos o pseudónimos,mujer real
6,calle sin salida,CARMEN LAFFON,artes visuales / pintora,antropónimo,mujer real
11,calle,CARMEN LAFORET,artes literarias,antropónimo,mujer real
2,calle,CARMEN LÓPEZ FERNÁNDEZ,vecina del barrio,antropónimo,mujer real
1,plaza,CARMEN OLMEDO,política,antropónimo,mujer real
1,plaza peatonal,CARMEN THYSSEN- BORNEMISZA,artes plásticas,antropónimo,mujer real
