distrito,tipo_via,nombre_via,categoria
4,plaza,ADORATRICES,gremio mujeres
1,calle,AMALIA HEREDIA,mujer real
4,calle,ANA BERNAL,mujer real
9,calle,ANCHA DEL CARMEN,mujer ficticia
9,calle,ÁNGELES MOLINA DE LERSUNDY,mujer real
9,calle,ANGOSTA DEL CARMEN,mujer real
7,calle,ANITA ADAMUZ,mujer real
9,calle,ARGENTEA,mujer real
7,calle,ARROYO DE LOS ÁNGELES,mujer ficticia
7,plaza,AURORA,nombre genérico de mujer
6,calle,BALBINA VALVERDE,mujer real
7,calle,BARRERA DE LA TRINIDAD,mujer ficticia
3,calle,BEATAS,mujer real
5,calle,CARMELITAS,gremio mujeres
9,calle,CARMELITAS,gremio mujeres
10,calle,CARMEN,nombre genérico de mujer
7,placeta,COMPÁS DE LA TRINIDAD,mujer ficticia
4,calle,COMPÁS DE LA VICTORIA,mujer ficticia
1,calle,CONCEPCIÓN,mujer real
6,calle,CONCHA CONSTÁN,mujer real
1,calle,CONDESA DE PARCENT,mujer real
10,calle,CONSTANCIA,nombre genérico de mujer
7,pasaje,COVADONGA,mujer ficticia
7,pasaje,COVADONGA,mujer ficticia
7,calle,CRISTINA,nombre genérico de mujer
6,calle,DIVINA PASTORA,mujer ficticia
6,calle,DOLORES CORTÉS,mujer real
9,calle,DOÑA ENRIQUETA,mujer real
6,calle,DOS HERMANAS,nombre genérico de mujer
4,calle,ESPERANZA,mujer ficticia
2,calle,FERNÁN CABALLERO,mujer real
8,calle,FERNÁNDEZ ALARCÓN,mujer real
5,calle,HUERTO DE LAS MONJAS,gremio mujeres
6,calle,ISABEL CHEIX,mujer real
4,calle,ISABEL LA CATÓLICA,mujer real
7,calle,LA REGENTE,mujer real
2,calle,LA SEÑORA,nombre genérico de mujer
8,calle,LLANO DE LA TRINIDAD,mujer ficticia
8,calle,LLANO DE SANTA SOFÍA,mujer real
6,calle,LORENZA CORREA,mujer real
5,calle,MADRE DE DIOS,mujer ficticia
7,calle,MALASAÑA,mujer real
4,calle,MARÍA,mujer ficticia
5,callejón,MARÍA,mujer ficticia
4,plaza,MARÍA GUERRERO,mujer real
9,pasaje,MARÍA LUISA,nombre genérico de mujer
6,calle,MARÍA TUBAU,mujer real
5,calle,MARIBLANCA,mujer ficticia
2,calle,MARQUESA DE MOYA,mujer real
5,calle,MERCED,nombre genérico de mujer
5,plaza,MERCED,nombre genérico de mujer
3,calle,MURO DE LAS CATALINAS,gremio mujeres
4,calle,MURO DE SANTA ANA,mujer real
7,calle,NATALIA,nombre genérico de mujer
10,calle,NIÑA DE ORO,mujer real
5,calle,PARDO BAZÁN,mujer real
1,calle,PASTORA,nombre genérico de mujer
10,calle,PRINCESA,nombre genérico de mujer
3,calle,PURIFICACIÓN,mujer real
7,calle,RAFAELA,mujer real
2,calle,RAGUNDA,mujer real
8,calle,RITA LUNA,mujer real
6,plaza,ROSA,nombre genérico de mujer
2,calle,ROSALÍA DE CASTRO,mujer real
6,calle,ROSARIO,nombre genérico de mujer
1,calle,SANCHA DE LARA,mujer real
4,calle,SANTA ANA,mujer real
9,calle,SANTA BÁRBARA,mujer real
2,callejón,SANTA CATALINA,mujer real
2,calle,SANTA CRISTINA,mujer real
10,pasaje,SANTA ISABEL,mujer real
4,calle,VICTORIA,mujer ficticia
4,plaza,VICTORIA,mujer ficticia
